g0_4	g1_19	g2_4	g3_2	g4_7	g5_3	g6_1	g7_10	g8_5	g9_4	g10_20	g11_15	g12_14	g13_8	g14_9	g15_9	g16_4	g17_7	g18_17	g19_1
g0_16	g1_7	g2_16	g3_20	g4_13	g5_18	g6_5	g7_1	g8_11	g9_1	g10_18	g11_13	g12_8	g13_2	g14_14	g15_7	g16_3	g17_10	g18_18	g19_2
g0_20	g1_9	g2_7	g3_1	g4_15	g5_14	g6_16	g7_15	g8_12	g9_14	g10_4	g11_3	g12_13	g13_14	g14_8	g15_2	g16_16	g17_13	g18_10	g19_3
g0_3	g1_6	g2_17	g3_17	g4_2	g5_4	g6_6	g7_8	g8_8	g9_20	g10_5	g11_2	g12_7	g13_17	g14_11	g15_6	g16_8	g17_4	g18_8	g19_4
g0_1	g1_17	g2_12	g3_10	g4_11	g5_8	g6_4	g7_4	g8_15	g9_17	g10_10	g11_14	g12_20	g13_20	g14_3	g15_4	g16_7	g17_15	g18_9	g19_5
g0_8	g1_12	g2_1	g3_12	g4_10	g5_17	g6_10	g7_3	g8_18	g9_11	g10_11	g11_10	g12_11	g13_11	g14_6	g15_1	g16_17	g17_2	g18_6	g19_6
g0_10	g1_11	g2_19	g3_4	g4_8	g5_10	g6_11	g7_7	g8_19	g9_5	g10_3	g11_11	g12_18	g13_12	g14_16	g15_10	g16_6	g17_3	g18_1	g19_7
g0_6	g1_15	g2_18	g3_9	g4_9	g5_19	g6_17	g7_17	g8_14	g9_13	g10_12	g11_18	g12_6	g13_4	g14_17	g15_11	g16_18	g17_9	g18_14	g19_8
g0_19	g1_2	g2_2	g3_6	g4_16	g5_20	g6_2	g7_5	g8_3	g9_2	g10_14	g11_12	g12_9	g13_9	g14_5	g15_17	g16_13	g17_17	g18_20	g19_9
g0_5	g1_3	g2_6	g3_14	g4_1	g5_16	g6_3	g7_9	g8_20	g9_3	g10_16	g11_8	g12_17	g13_5	g14_19	g15_5	g16_14	g17_5	g18_4	g19_10
g0_11	g1_5	g2_3	g3_3	g4_20	g5_11	g6_13	g7_2	g8_2	g9_7	g10_8	g11_17	g12_12	g13_1	g14_2	g15_3	g16_10	g17_1	g18_2	g19_11
g0_14	g1_4	g2_15	g3_8	g4_19	g5_15	g6_15	g7_20	g8_9	g9_15	g10_15	g11_6	g12_16	g13_7	g14_10	g15_12	g16_5	g17_14	g18_7	g19_12
g0_13	g1_1	g2_5	g3_18	g4_17	g5_5	g6_19	g7_16	g8_10	g9_8	g10_6	g11_7	g12_4	g13_10	g14_7	g15_13	g16_12	g17_18	g18_5	g19_13
g0_7	g1_14	g2_14	g3_19	g4_3	g5_13	g6_8	g7_11	g8_16	g9_6	g10_13	g11_1	g12_15	g13_16	g14_4	g15_18	g16_19	g17_8	g18_3	g19_14
g0_15	g1_20	g2_8	g3_7	g4_14	g5_6	g6_14	g7_13	g8_4	g9_10	g10_2	g11_20	g12_1	g13_3	g14_13	g15_8	g16_1	g17_19	g18_13	g19_15
g0_17	g1_16	g2_9	g3_13	g4_5	g5_7	g6_7	g7_6	g8_6	g9_16	g10_7	g11_19	g12_19	g13_15	g14_12	g15_20	g16_20	g17_6	g18_12	g19_16
g0_18	g1_18	g2_20	g3_15	g4_18	g5_9	g6_12	g7_19	g8_1	g9_19	g10_19	g11_4	g12_2	g13_6	g14_15	g15_14	g16_2	g17_12	g18_11	g19_17
g0_12	g1_10	g2_13	g3_5	g4_4	g5_2	g6_18	g7_12	g8_13	g9_12	g10_9	g11_16	g12_5	g13_13	g14_1	g15_16	g16_15	g17_11	g18_15	g19_18
g0_2	g1_13	g2_10	g3_16	g4_6	g5_12	g6_9	g7_14	g8_17	g9_9	g10_17	g11_5	g12_10	g13_19	g14_18	g15_19	g16_9	g17_20	g18_19	g19_19
g0_9	g1_8	g2_11	g3_11	g4_12	g5_1	g6_20	g7_18	g8_7	g9_18	g10_1	g11_9	g12_3	g13_18	g14_20	g15_15	g16_11	g17_16	g18_16	g19_20
