r0_19	r1_2	r2_2	r3_10	r4_9	r5_12	r6_1	r7_17	r8_20	r9_20	r10_7	r11_15	r12_14	r13_15	r14_6	r15_5	r16_2	r17_13	r18_16	r19_1
r0_12	r1_17	r2_16	r3_20	r4_15	r5_18	r6_10	r7_9	r8_18	r9_6	r10_16	r11_7	r12_10	r13_9	r14_8	r15_12	r16_10	r17_19	r18_3	r19_2
r0_13	r1_5	r2_13	r3_7	r4_10	r5_1	r6_18	r7_15	r8_4	r9_8	r10_8	r11_17	r12_4	r13_19	r14_15	r15_15	r16_11	r17_14	r18_2	r19_3
r0_8	r1_15	r2_1	r3_13	r4_7	r5_10	r6_3	r7_18	r8_9	r9_10	r10_14	r11_18	r12_12	r13_2	r14_19	r15_8	r16_16	r17_5	r18_13	r19_4
r0_3	r1_7	r2_3	r3_17	r4_1	r5_6	r6_8	r7_4	r8_6	r9_14	r10_1	r11_4	r12_13	r13_5	r14_14	r15_17	r16_4	r17_6	r18_1	r19_5
r0_6	r1_11	r2_7	r3_2	r4_11	r5_9	r6_16	r7_6	r8_15	r9_17	r10_19	r11_1	r12_16	r13_16	r14_18	r15_18	r16_8	r17_2	r18_7	r19_6
r0_16	r1_3	r2_10	r3_18	r4_12	r5_2	r6_7	r7_8	r8_11	r9_4	r10_6	r11_10	r12_11	r13_7	r14_11	r15_14	r16_20	r17_3	r18_10	r19_7
r0_4	r1_8	r2_4	r3_4	r4_13	r5_3	r6_11	r7_7	r8_13	r9_12	r10_10	r11_13	r12_15	r13_8	r14_16	r15_19	r16_9	r17_7	r18_9	r19_8
r0_11	r1_1	r2_19	r3_3	r4_5	r5_20	r6_2	r7_3	r8_16	r9_7	r10_18	r11_2	r12_3	r13_17	r14_1	r15_2	r16_5	r17_8	r18_6	r19_9
r0_18	r1_12	r2_18	r3_9	r4_14	r5_7	r6_13	r7_11	r8_5	r9_13	r10_5	r11_6	r12_7	r13_12	r14_20	r15_1	r16_6	r17_11	r18_5	r19_10
r0_14	r1_20	r2_14	r3_16	r4_2	r5_11	r6_17	r7_2	r8_14	r9_16	r10_13	r11_12	r12_5	r13_1	r14_3	r15_16	r16_7	r17_18	r18_8	r19_11
r0_10	r1_16	r2_15	r3_5	r4_16	r5_5	r6_6	r7_1	r8_3	r9_5	r10_3	r11_8	r12_1	r13_11	r14_2	r15_20	r16_12	r17_10	r18_17	r19_12
r0_15	r1_19	r2_8	r3_11	r4_19	r5_19	r6_9	r7_19	r8_19	r9_3	r10_17	r11_19	r12_9	r13_20	r14_12	r15_11	r16_1	r17_9	r18_11	r19_13
r0_20	r1_10	r2_11	r3_6	r4_20	r5_13	r6_4	r7_5	r8_12	r9_15	r10_4	r11_9	r12_8	r13_13	r14_4	r15_6	r16_17	r17_1	r18_18	r19_14
r0_1	r1_9	r2_12	r3_15	r4_4	r5_4	r6_15	r7_20	r8_10	r9_19	r10_9	r11_16	r12_19	r13_3	r14_9	r15_3	r16_13	r17_15	r18_4	r19_15
r0_17	r1_14	r2_20	r3_8	r4_18	r5_8	r6_20	r7_10	r8_7	r9_9	r10_12	r11_5	r12_6	r13_18	r14_7	r15_9	r16_19	r17_12	r18_15	r19_16
r0_7	r1_18	r2_5	r3_14	r4_17	r5_15	r6_14	r7_16	r8_8	r9_2	r10_15	r11_3	r12_18	r13_10	r14_10	r15_7	r16_3	r17_16	r18_14	r19_17
r0_2	r1_6	r2_9	r3_19	r4_3	r5_16	r6_12	r7_14	r8_17	r9_11	r10_2	r11_20	r12_20	r13_14	r14_13	r15_10	r16_15	r17_17	r18_12	r19_18
r0_5	r1_13	r2_17	r3_1	r4_8	r5_14	r6_5	r7_12	r8_1	r9_1	r10_20	r11_11	r12_2	r13_6	r14_5	r15_4	r16_18	r17_20	r18_19	r19_19
r0_9	r1_4	r2_6	r3_12	r4_6	r5_17	r6_19	r7_13	r8_2	r9_18	r10_11	r11_14	r12_17	r13_4	r14_17	r15_13	r16_14	r17_4	r18_20	r19_20
